Rank,Release Group,Worldwide,Domestic,%,Foreign,%
145,Fireheart,"$5,419,031","$49,848",0.9%,"$5,369,183",99.1%
146,Thiruchitrambalam,"$5,342,111",-,-,"$5,342,111",100%
147,Wandering,"$5,262,479",-,-,"$5,262,479",100%
148,Les Segpa,"$5,212,123",-,-,"$5,212,123",100%
149,Maigret,"$5,196,859",-,-,"$5,196,859",100%
150,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
151,Bibi & Tina: Einfach Anders,"$5,121,884",-,-,"$5,121,884",100%
152,My Boyfriend in Orange,"$5,039,477",-,-,"$5,039,477",100%
153,Major,"$4,961,424",-,-,"$4,961,424",100%
154,Liger,"$4,879,486",-,-,"$4,879,486",100%
155,Cobra,"$4,867,081",-,-,"$4,867,081",100%
156,Lifemark,"$4,842,809","$4,842,809",100%,-,-
157,Official Competition,"$4,742,500","$593,790",12.5%,"$4,148,710",87.5%
158,Mama's Affair,"$4,731,895",-,-,"$4,731,895",100%
159,Y cómo es él?,"$4,625,869","$1,500,636",32.4%,"$3,125,233",67.6%
160,Akira and Akira,"$4,611,251",-,-,"$4,611,251",100%
161,The Cursed,"$4,588,389","$4,588,389",100%,-,-
162,Waiting for Bojangles,"$4,538,023",-,-,"$4,538,023",100%
163,Crimes of the Future,"$4,476,450","$2,452,882",54.8%,"$2,023,568",45.2%
164,Kaathu Vaakula Rendu Kadhal,"$4,474,859",-,-,"$4,474,859",100%
165,Vysehrad: Fylm,"$4,443,731",-,-,"$4,443,731",100%
166,Free! The Final Stroke Part 2,"$4,305,978",-,-,"$4,305,978",100%
167,Permis de construire,"$4,298,296",-,-,"$4,298,296",100%
168,Ek Villain Returns,"$4,297,792",-,-,"$4,297,792",100%
169,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
170,Bon Bini Holland 3,"$4,253,120",-,-,"$4,253,120",100%
171,Vengeance,"$4,233,331","$4,225,720",99.8%,"$7,611",0.2%
172,The Godfather 2022 Re-release,"$4,214,662","$1,414,662",33.6%,"$2,800,000",66.4%
173,Em Va Trinh,"$4,165,607",-,-,"$4,165,607",100%
174,Runway 34,"$4,062,826",-,-,"$4,062,826",100%
175,The Outfit,"$4,018,847","$3,344,040",83.2%,"$674,807",16.8%
176,Kaduva,"$4,006,898",-,-,"$4,006,898",100%
177,The Phantom of the Open,"$4,002,551","$743,619",18.6%,"$3,258,932",81.4%
178,Chilli Laugh Story,"$4,000,264",-,-,"$4,000,264",100%
179,Family Camp,"$3,973,263","$3,973,263",100%,-,-
180,In Our Prime,"$3,969,245",-,-,"$3,969,245",100%
181,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$3,957,814",-,-,"$3,957,814",100%
182,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
183,Table for Six,"$3,925,959",-,-,"$3,925,959",100%
184,Beautiful Minds,"$3,920,298",-,-,"$3,920,298",100%
185,Railway Children,"$3,911,400","$245,904",6.3%,"$3,665,496",93.7%
